place_id,name,locality,rating,user_ratings_total,cuisines,primary_category
ChIJZWwjfS_B5zsRFfjf1zQiKtw,The Belgian Waffle Co.,Kopar Khairne,4.1,989.0,"Bakery, Cafe, Confectionery, Dessert, Dessert Restaurant, Food Store, Ice Cream, Restaurant, Wholesaler",Cafe
ChIJT7Nfv5nB5zsRoQSDgiWu5dA,PANCHARATNA PURE VEG,Kopar Khairne,4.1,169.0,"Cafe, Indian, Pizza, Restaurant",Indian
ChIJp0WzSbPB5zsRKCmgkUp_DI0,Subway Sector 5 Koper Khairane,Kopar Khairne,3.8,97.0,"Breakfast, Cafe, Fast Food Restaurant, Restaurant, Sandwich",Cafe
ChIJ5SpO9gDB5zsRiPVxAKyaiMs,Subway Sector 28 Vashi,Kopar Khairne,3.6,248.0,"Breakfast, Cafe, Fast Food Restaurant, Restaurant, Sandwich",Cafe
ChIJmV8jegDB5zsR8kvwm-7wEJs,Kaffee Nostalgic,Kopar Khairne,4.7,105.0,"Bakery, Cafe, Food Store",Cafe
ChIJc24XtNDA5zsRgEkuwkBwmYg,LEVEL UP!,Kopar Khairne,4.6,216.0,Cafe,Cafe
ChIJgXBzRADB5zsRz_r6GyM4Od4,Frozen Bottle vashi,Kopar Khairne,3.9,45.0,Cafe,Cafe
ChIJG4ML_DnB5zsR2AHEWLaELZI,Aroma Chai (Kopar Khairane),Kopar Khairne,4.9,699.0,"Breakfast, Brunch Restaurant, Cafe, Coffee, Food Store, Restaurant, Tea",Cafe
ChIJLReolKzB5zsRiKzoXgG8L3A,Cafe Te Amo,Kopar Khairne,4.2,125.0,Cafe,Cafe
ChIJHbQ6mdbA5zsRxZDGf90O6BU,Shree Ganesh Vadapav & Cool Drinks Center,Kopar Khairne,4.3,1164.0,"Breakfast, Fast Food Restaurant, Juice, Restaurant, Takeaway",Fast Food
ChIJ9US7n97B5zsR4U2t4cr3_Bo,New Pancharatna - Pure Veg,Kopar Khairne,4.2,1702.0,"Indian, Restaurant, Takeaway, Vegetarian Restaurant",Indian
ChIJ4QR_7zkYWjkRmeAhu9d5QOY,"Domino's Pizza | Sector 19, Navi Mumbai",Kopar Khairne,3.8,2064.0,"Delivery, Food Delivery, Italian, Pizza, Restaurant, Takeaway",Italian
ChIJeZ_oEYTB5zsR76oFaOtX4C0,Ramen N Pho,Kopar Khairne,4.2,189.0,"Asian Restaurant, Chinese, Japanese Restaurant, Korean Restaurant, Ramen Restaurant, Restaurant, Takeaway, Vietnamese Restaurant",Chinese
ChIJEYcHMibB5zsRDb5u8lMUEWc,"Domino's Pizza | Kopar khairane, Navi Mumbai",Kopar Khairne,4.0,1998.0,"Delivery, Food Delivery, Italian, Pizza, Restaurant, Takeaway",Italian
ChIJ5Ulx9m_B5zsRKCtjdki6dNo,Bhaskar’s Puranpoli Ghar - Juhu-Vashi,Kopar Khairne,4.0,178.0,"Confectionery, Food Store, Indian, Restaurant, Takeaway",Indian
ChIJ41_d283B5zsR25DANVSbo2Q,"Pizza Hut | Kopar Khairane Vashi, Mumbai",Kopar Khairne,4.6,523.0,"Delivery, Fast Food Restaurant, Food Delivery, Italian, Pizza, Restaurant, Takeaway",Italian
ChIJFxNHmy_B5zsR-wD8SFaeuVY,Pronto Pastas & Noodle,Kopar Khairne,4.1,741.0,"Asian Restaurant, Chinese, Delivery, Food Delivery, Italian, Restaurant, Takeaway",Chinese
ChIJ-aAc8uzB5zsRWuFd2NptMMA,"Bikanervala | Koparkhairane, Navi Mumbai",Kopar Khairne,4.0,4.0,"Restaurant, Takeaway",Restaurant (General)
ChIJ62eozRHB5zsRJj0pNvy5fbY,AYODHYAA Veg & Non-veg,Kopar Khairne,3.8,33.0,"Indian, Restaurant, Takeaway, Vegetarian Restaurant",Indian
